2410015M20Rik	chr17	-	56607622	56609771
Adgrg6	chr10	-	14405274	14545036
Adsl	chr15	+	80948489	80968782
Ahcyl2	chr6	+	29768442	29909215
Ahnak	chr19	+	8989283	9076914
Akap7	chr10	-	25170552	25299163
Ank	chr15	+	27466676	27593348
Ankhd1	chr18	+	36560602	36658814
Ankrd13b	chr11	-	77470570	77489678
Ano6	chr15	+	95790842	95972966
Anxa1	chr19	-	20373557	20390671
Apold1	chr6	+	134982000	134985744
Aqp5	chr15	+	99591027	99594730
Arg1	chr10	-	24915221	24927470
Arhgap21	chr2	-	20848303	20967721
Arhgef2	chr3	+	88616206	88646935
Arhgef5	chr6	+	43265643	43289316
Arid1a	chr4	-	133679907	133753611
Arid1b	chr17	+	4995073	5343263
Arid4a	chr12	+	71015966	71097817
Arsa	chr15	-	89473096	89477424
Asap1	chr15	-	64088911	64382919
Asxl2	chr12	+	3426856	3502472
Atad3a	chr4	-	155740647	155761098
Atrn	chr2	+	130906494	131026720
Atxn1	chr13	-	45556961	45964991
Atxn7l1	chr12	+	33147685	33368275
B4gat1	chr19	+	5038825	5040689
B9d1	chr11	+	61505143	61512928
Baalc	chr15	+	38933908	38950841
Bcl7a	chr5	+	123344447	123371496
Bclaf1	chr10	+	20312468	20340264
Bloc1s1	chr10	-	128919918	128923524
Bmpr2	chr1	+	59764278	59870639
Brpf1	chr6	+	113307136	113324655
Brwd3	chrX	-	108742966	108834355
Bspry	chr4	+	62480066	62497300
Camta2	chr11	-	70669921	70688105
Cand1	chr10	-	119202701	119240055
Capn10	chr1	+	92934407	92947941
Capn2	chr1	-	182468058	182517483
Ccdc150	chr1	+	54250682	54368608
Ccdc85b	chr19	-	5456772	5457563
Ccng2	chr5	+	93267572	93275534
Ccnt2	chr1	+	127774163	127803722
Cct2	chr10	-	117051160	117063814
Cct8	chr16	-	87483915	87495869
Cd164	chr10	+	41519499	41528859
Cd47	chr16	+	49855653	49911081
Cd81	chr7	+	143052749	143067469
Cdc42ep3	chr17	-	79334719	79355091
Cdk1	chr10	-	69338377	69352912
Cdk17	chr10	+	93160875	93240133
Cdk6	chr5	+	3343892	3520987
Cep78	chr19	-	15955773	15984989
Cfap157	chr2	-	32777373	32784405
Chn2	chr6	+	54272821	54300296
Chrac1	chr15	+	73090411	73094077
Clic1	chr17	+	35050242	35058529
Commd5	chr15	+	76899940	76901305
Coq10b	chr1	+	55052769	55071830
Cox7a1	chr7	+	30184170	30185999
Ctnna1	chr18	+	35118911	35254081
Ctsw	chr19	-	5465240	5468507
Cux1	chr5	-	136248135	136567490
Cxxc5	chr18	+	35829817	35861001
Cyb5r3	chr15	-	83153755	83172208
Cyp1b1	chr17	-	79709872	79715041
Cyr61	chr3	-	145647448	145649985
Dap3	chr3	-	88923683	88950282
Dctn2	chr10	+	127266261	127281678
Ddx19b	chr8	-	111008012	111031751
Des	chr1	+	75360291	75367716
Dgat1	chr15	-	76502089	76511994
Dhx30	chr9	-	110084368	110117616
Dimt1	chr13	+	106947128	106958872
Dnaaf2	chr12	-	69189100	69198429
Dnaaf5	chr5	+	139150222	139186224
Dnajc25	chr4	+	59003192	59022815
Dnajc7	chr11	-	100583077	100620168
Dpp7	chr2	-	25352292	25356332
Dync1li2	chr8	-	104420569	104443047
Dynll1	chr5	-	115298548	115300990
Egln1	chr8	-	124910428	124949254
Eif3l	chr15	+	79075222	79094327
Ell2	chr13	+	75707483	75770848
Emc2	chr15	+	43477228	43527571
Emc4	chr2	-	112363009	112368027
Enho	chr4	-	41638212	41640302
Ereg	chr5	+	91074616	91090266
Exosc4	chr15	+	76327396	76329760
Fabp3	chr4	+	130308777	130315423
Fam120a	chr13	-	48880791	48967828
Fam129b	chr2	+	32876133	32924405
Foxf1	chr8	+	121084385	121087151
Fuz	chr7	+	44896078	44900591
Fyn	chr10	+	39369798	39564267
G3bp1	chr11	+	55469751	55499789
Gan	chr8	+	117158134	117204659
Gapdhs	chr7	-	30729779	30743681
Gata2	chr6	+	88198663	88206492
Gli3	chr13	+	15463722	15727221
Gmeb2	chr2	-	181251451	181287966
Gng13	chr17	+	25717171	25719084
Gpaa1	chr15	+	76331293	76334900
Gpr107	chr2	+	31152315	31216175
Gpr173	chrX	-	152344646	152368704
Gpr62	chr9	-	106464017	106465940
Gstm5	chr3	+	107895853	107898553
Gulp1	chr1	+	44551670	44795159
Has2	chr15	-	56666981	56694546
Hist1h1d	chr13	+	23555031	23558015
Hk1	chr10	-	62269303	62340421
Hlx	chr1	-	184727143	184732493
Hoxa13	chr6	-	52257734	52260880
Hoxa2	chr6	-	52162850	52164831
Hoxc9	chr15	+	102977031	102984444
Hyi	chr4	+	118359998	118362744
Id3	chr4	+	136143821	136145297
Ino80	chr2	-	119373042	119477629
Irf2bp1	chr7	+	19004064	19006515
Irs1	chr1	-	82237166	82291439
Irx3	chr8	-	91798525	91801654
Itgb1	chr8	+	128685653	128732185
Itgb2	chr10	+	77530347	77565513
Itpkb	chr1	+	180330475	180422039
Itsn2	chr12	+	4593007	4713690
Jun	chr4	-	95050223	95052222
Kif2a	chr13	-	106961979	107022114
Kif5b	chr18	-	6203358	6241524
Klf3	chr5	+	64803522	64829293
Kmt2a	chr9	-	44807312	44881274
Kmt2c	chr5	-	25273105	25498783
Kmt2e	chr5	+	23434428	23503193
Knl1	chr2	+	119047118	119104480
Kpna1	chr16	+	35983362	36034014
Kpna6	chr4	-	129647679	129672767
Lasp1	chr11	+	97799671	97837998
Lats1	chr10	+	7681208	7713031
Lemd3	chr10	-	120924805	120979330
Letmd1	chr15	+	100469033	100479193
Lfng	chr5	+	140607340	140615110
Lnpep	chr17	-	17529547	17624489
Lta4h	chr10	+	93453395	93484875
Ltbp3	chr19	+	5740903	5758226
March7	chr2	+	60209935	60248022
Mark3	chr12	+	111574509	111655667
Masp1	chr16	-	23449416	23520590
Mbtps2	chrX	-	157550855	157598715
Mcc	chr18	-	44429205	44662266
Med26	chr8	-	72494945	72548310
Meis1	chr11	-	18881393	19018969
Meis2	chr2	-	115863141	116067444
Mfhas1	chr8	+	35587797	35677246
Mgea5	chr19	-	45751962	45783291
Mien1	chr11	-	98438042	98438988
Mkl1	chr15	-	81012281	81190757
Mkln1	chr6	+	31398827	31507970
Mmadhc	chr2	-	50280121	50296801
